Turnover,,,,,,,,Faixa Etária,,,,,,,,Frequência de Viagens,,,,,Distância do Trabalho,,,,,,Formação,,,,,,,,Satisfação com o clima organizacional,,,,,,,,Gênero,,,,,Estado Civil,,,,,,,Salário,,,,,,,Qtde Empresas trabalhadas,,,,,,,Faz horas Extra?,,,,,Percentual de aumento de salário de 2018 a 2019,,,,,,Qtde de Ações da Empresa,,,,,,Tempo de Carreira,,,,,,,,,,Horas de Treinamento,,,,,,Equilibrio de Vida,,,,,,,,,,,,Tempo de Empresa,,,,,,Anos no mesmo Cargo,,,,,,,,,Anos desde a ultima promoção,,,,,,,,,Anos com o mesmo chefe,,,,,,,,,,,,,,,,,,,,,,,,
Insights,,,,,,,,Insights,,,,,,,,Insights,,,,,Insights,,,,,,Insights,,,,,,,,Insights,,,,,,,,Insights,,,,,Insights,,,,,,,Insights,,,,,,,Insights,,,,,,,Insights,,,,,Insights,,,,,,Insights,,,,,,Insights,,,,,,,,,,Insights,,,,,,Insights,,,,,,,,,,,,Insights,,,,,,Insights,,,,,,,,,Insights,,,,,,,,,Insights,,,,,,,,,,,,,,,,,,,,,,,,
1. (16%) Deixaram a empresa.,,,,,,,,1. Temos uma maior faixa etária de funcionarios entre 30 a 40 anos.,,,,,,,,1. Até 81% Viaja raramente.,,,,,1. De acordo a frequencia acumulada, até (70%) moram a 10Km de distancia.,,,,,,1. A mior parte dos Funcionários tem Ensino Superior (39%),,,,,,,,1. Até 39% não se agrada com o clima organizacional.,,,,,,,,1. A maior parte dos funcionários são homens. 60%,,,,,1. Vemos que a maioria dos funcionários são casados com (45,78%),,,,,,,1. Já notsamos que segundo Diagrama de Pareto 70% recebem até 7000 Reais,,,,,,,1. De acordo o gráfico de pareto Até (79,05%) Trabalharam em 4 Empresas.,,,,,,,1. Cerca de 71,70% não fazem hora extra.,,,,,1. Observamos que a maioria receberam o menor percentual de aumento,,,,,,1. Notamos que 43% não tem nenhuma das ações da empresa.,,,,,,1. De acordo o Diagrama de Pareto, até 73% dos funcionários tem de 10 a 14 anos de Carreira.,,,,,,,,,,1. De acordo o diagrama de pareto até 79% tiveram 3 horas de treinamento.,,,,,,"1. Vemos que 61% tem uma Classificação de Equilibrio de Vida ""Muito bom""",,,,,,,,,,,,1. 39% tem até 4 anos de empresa.,,,,,,1. Até 82% dos funcionários estiveram 7 anos no mesmo cargo.,,,,,,,,,1. Até 78% tiveram sua promoção com 3 anos de acordo diagrama de pareto.,,,,,,,,,1. Logo de cara já observamos 14% com 7 anos com o mesmo chefe. ,,,,,,,,,,,,,,,,,,,,,,,,
2.( 84%) dos funcionários não deixaram a empresa.,,,,,,,,2. Média de idade 37 anos,,,,,,,,2. 19% Viaja frequentemente.,,,,,com a maior parte morando de 1 a 4 Km com (38,57%).,,,,,,2. Tem uma quantidade significativa de funcionários com Mestrado. (27%),,,,,,,,2. Mesmo tendo uma alta taxa de percentual 61% que se agradam ,,,,,,,,40% Mulher,,,,,2. Temos uma boa parte de solteiros (31,97%),,,,,,,e 80% recebem até 10000 Reais.,,,,,,,2. (35%) já trabalharam em 1 empresa.,,,,,,,2. (28,30%) Fazem hora extra.,,,,,Cerca de 14,29% receberam 11% de aumento.,,,,,,2. Mas 41% tem 1 das ações da empresa.,,,,,,2. A maior parte dos funcionários tem de 5 a 9 anos de  Tempo de Carreira com (33,54%),,,,,,,,,,2. 37,21% tiveram 2 horas de treinamento. ,,,,,,2. Apenas 5% tem um Equilibrio de Vida ruim. ,,,,,,,,,,,,2. Até 75% tem de 5 a 9 anos tempo de empresa.,,,,,,2. 25,31% estiveram no mesmo cargo por 2 anos.,,,,,,,,,,,,,,,,,,2. Algo a se pontuar, como é a conduta dos chefes dessa empresa? Os chefes são bons? Os funcionários gostam de seus chefes?[,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3. mediana 36 anos. (Até 75%) tem 43 anos.,,,,,,,,,,,,,2. Média de Distancia 9Km e Mediana de 7 Km de acordo Boxbplot.,,,,,,3. Apesar do doutorado ter a menor porcentagem (3,27%) é a que tem a maior média salarial.,,,,,,,,seria interessante melhorar essa parte na empresa, pois podem estar pecando nessa área,,,,,,,,,,,,,3. Vale a pena investir contratações em Casados. Tendem a ser mais ,,,,,,,2. Salário Mínimo e Máximo:,,,1009,19999,,,3. Podemos afirmar que trabalhar em outra empresa anterior não poderia ser uma coisa ruim,,,,,,,3. Nota-se de fato que a maioria não faz hora extra.,,,,,2. A mediana é de 14%. Ou seja metade receberam até 14% de aumento.,,,,,,3. (10%) tem 2 ações e 6% tem 3 ações  da empresa.,,,,,,3. Média de 11 anos o tempo de Carreira e a Mediana de 10 Anos.,,,,,,,,,,,,,,,,Necessário analisar bem o que pode estar causando um equilibrio de vida ruim,,,,,,,,,,,,3. Média de 7 anos tempo de empresa e Mediana de 5 anos.,,,,,,3. Necessário analisar sobre plano de carreira.,,,,,,,,,,,,,,,,,,Existe assédio moral na empresa? Abuso de poder?          . Pontos a ser analisados.,,,,,,,,,,,,,,,,,,,,,,,,
FAIXA ETÁRIA,Freq abs,Freq Relativa,,,,,,FAIXA ETÁRIA,Freq abs,Freq Relativa,Freq Acumulada,,,,,Frequência de Viagens,Freq abs,Freq Relativa,Freq Acumulada,,3. (75%) Moram até 14km de distancia da empresa.,,,,,,e Ensino médio é a que tem a menor média salarial. Vamos nos aprofundar na variavel salario.,,,,,,,,fazendo com que perca funcionários.,,,,,,,,,,,,,sérios com seus deveres.,,,,,,,3. Média Salarial:6.502 Reais,,,Mediana: 4.919 Reais.,,,,sendo que o funcionário adquiriu experiencias. ,,,,,,,,,,,,3. Até 75% receberam 18% de aumento de acordo com o gráfico de Box-plot.,,,,,,4. Aconselhamos divulgar melhor essas ações para o funcionario,,,,,,4. Até 75% tem 15 anso tempo de carreira e um limite superior de 28 anos. Com alguns outliers acima do normal.,,,,,,,,,,,,,,,,para esta minoria, pois são eles que futuramente podem estar deixando a empresa.,,,,,,,,,,,,4. Existem muitos outliers acima de 18 anos que é o limite superior.,,,,,, Pois muitos funcionários podem desanimar com demora de promoção.,,,,,,,,,,,,,,,,,,3. De acordo com o diagrama de pareto 82% estiveram até 7 anos coo o mesmo chefe.,,,,,,,,,,,,,,,,,,,,,,,,
Não,1233,83,88%,,,,,,<20,17,1,16%,1,16%,,,,,Não viaja,150,10,20%,10,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. (75%) recebem até 8380 Reais.,,,,,,,mas mudar de empresas muitas vezes pode significar algo ruim vindo do funcionário.,,,,,,,,,,,,,,,,,, e mostrar os beneficios que isso pode lhe oferecer,,,,,,,,,,,,,,,,,,,,,,3. Tem uma taxa de Turnover de 31% para quemteve equilibrio de vida ruim.,,,,,,,,,,,,5. Vemos um correlação entre tempo de carreira e empresa de 0,63.  ,,,,,,,,,,,,,,,,,,,,,,,,4. Tem uma relação forte das variaveis Anos com o mesmo chefe e ,,,,,,,,,,,,,,,,,,,,,,,,
Sim,237,16,12%,,,,,,20-24,80,5,44%,6,60%,,,,,Viaja raramente,1043,70,95%,81,16%,,,,,,,,,,,,,,,,,,,,,,,,Gênero,Freq abs,Freq Relativa,,,,,,,,,,5. Notamos existe muitos outliers, no qual puxa a média para cima,,,,,,,Qtde Empresas trabalhadas,Freq Abs,Freq Relativa,Freq Acumulada,,,,Faz horas Extra?,Freq Abs,Freq Relativa,,,Percentual de aumento,Freq Abs,Freq Relativa,Freq Acum,,,Qtde de Ações da Empresa,Freq Abs,Freq Relativa,Freq Acum,,,Tempo de Carreira,Freq Abs,Freq Relativa,Freq Acum,,,,,,,Horas de Treinamento,Freq Abs,Freq Relativa,Freq Acum,,,,,,,,,,,,,,,não é muito forte mas indica uma boa relação entre as duas variáveis.,,,,,,,,,,,,,,,,,,,,,,,,Anos no mesmo cargo de acordo o coeficiente correlação de pearson.,,,,,,,,,,,,,,,,,,,,,,,,
Total Geral,1470,100,00%,,,,,,25-29,229,15,58%,22,18%,,,,,Viaja frequentemente,277,18,84%,100,00%,,Distância do Trabalho,Freq abs,Freq Relativa,Freq Acumulada,,,Formação,Freq abs,Freq Relativa,Freq Acumulada,,,,,E-Sat,Freq abs,Freq Relativa,Freq Acumulada,,,,,H,882,60,00%,,,Estado Civil,Freq abs,Freq Relativa,Freq Acum,,,,6. Segundo o R Quadrado 99% da variabilidade Salario é explicado pela Formação do funcionário.,,,,,,,0,197,13,40%,13,40%,,,,Não,1054,71,70%,,,11,210,14,29%,14,29%,,,0,631,42,93%,42,93%,,,0-4,228,15,51%,15,51%,,,,,,,0,54,3,67%,3,67%,,,Equilibrio de Vida,Freq Abs,Freq Relativa,Freq Acum,,,,,,,,,Tempo de Empresa,Freq Abs,Freq Relativa,Freq Acum,,,Anos no mesmo Cargo,Freq Abs,Freq Relativa,Freq Acum,,,,,,Anos desde a ultima promoção,Freq Abs,Freq Relativa,Freq Acum,,,,,,Anos com o mesmo chefe,Freq Abs,Freq Relativa,Freq Acum,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,30-34,325,22,11%,44,29%,,,,,Total Geral,1470,100,00%,,,1-4,567,38,57%,38,57%,,,Ensino Médio,170,11,56%,11,56%,,,,,Baixo,284,19,32%,19,32%,,,,,M,588,40,00%,,,Solteiro,470,31,97%,31,97%,,,,7. Vemos que doutorado tem um maior Desvp, e sem outliers. Mostrando que tem muita dispersão,,,,,,,1,521,35,44%,48,84%,,,,Sim,416,28,30%,,,12,198,13,47%,27,76%,,,1,596,40,54%,83,47%,,,5-9,493,33,54%,49,05%,,,,,,,1,71,4,83%,8,50%,,,Ruim,80,5,44%,5,44%,,,,,,,,,0-4,580,39,46%,39,46%,,,0,244,16,60%,16,60%,,,,,,0,581,39,52%,39,52%,,,,,,0,263,17,89%,17,89%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,35-39,297,20,20%,64,49%,,,,,,,,,,5-8,288,19,59%,58,16%,,,Ensino Técnico,282,19,18%,30,75%,,,,,Médio,287,19,52%,38,84%,,,,,Total Geral,1470,100,00%,,,Casado,673,45,78%,77,76%,,,,nos salários e todos recebm alto. Com uma média de 8 mil reais pra doutorado.,,,,,,,2,146,9,93%,58,78%,,,,Total Geral,1470,100,00%,,,13,209,14,22%,41,97%,,,2,158,10,75%,94,22%,,,10-14,353,24,01%,73,06%,,,,,,,2,547,37,21%,45,71%,,,Bom,344,23,40%,28,84%,,,,,,,,,5-9,524,35,65%,75,10%,,,1,57,3,88%,20,48%,,,,,,1,357,24,29%,63,81%,,,,,,1,76,5,17%,23,06%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,40-44,208,14,15%,78,64%,,,,,,,,,,9-12,220,14,97%,73,13%,,,Ensino Superior,572,38,91%,69,66%,,,,,Alto,453,30,82%,69,66%,,,,,,,,,,Divorciado,327,22,24%,100,00%,,,,8. Ensino médio tem a menor Média, enquanto Ensino técnico, superior e mestrado tem médias parecidas.,,,,,,,3,159,10,82%,69,59%,,,,,,,,,14,201,13,67%,55,65%,,,3,85,5,78%,100,00%,,,15-19,159,10,82%,83,88%,,,,,,,3,491,33,40%,79,12%,,,Muito bom,893,60,75%,89,59%,,,,,,,,,10-14,208,14,15%,89,25%,,,2,372,25,31%,45,78%,,,,,,2,159,10,82%,74,63%,,,,,,2,344,23,40%,46,46%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,45-49,141,9,59%,88,23%,,,,,,,,,,13-16,98,6,67%,79,80%,,,Mestrado,398,27,07%,96,73%,,,,,Muito Alto,446,30,34%,100,00%,,,,,,,,,,Total Geral,1470,100,00%,,,,,9. Porém Ensino técnico com muito outliers indicando seu aumento da média.,,,,,,,4,139,9,46%,79,05%,,,,,,,,,15,101,6,87%,62,52%,,,Total Geral,1470,100,00%,,,,20-24,125,8,50%,92,38%,,,,,,,4,123,8,37%,87,48%,,,Excelente,153,10,41%,100,00%,,,,,,,,,15-19,65,4,42%,93,67%,,,3,135,9,18%,54,97%,,,,,,3,52,3,54%,78,16%,,,,,,3,142,9,66%,56,12%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,50-54,104,7,07%,95,31%,,,,,,,,,,17-20,93,6,33%,86,12%,,,Doutorado,48,3,27%,100,00%,,,,,Total Geral,1470,100,00%,,,,,,,,,,,,,,,,,,Salário,Freq abs,Freq Relativa,Freq Acum,,,,5,63,4,29%,83,33%,,,,,,,,,16,78,5,31%,67,82%,,,,,,,,,25-29,59,4,01%,96,39%,,,,,,,5,119,8,10%,95,58%,,,Total Geral,1470,100,00%,,,,,,,,,,20-24,64,4,35%,98,03%,,,4,104,7,07%,62,04%,,,,,,4,61,4,15%,82,31%,,,,,,4,98,6,67%,62,79%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,55-60,69,4,69%,100,00%,,,,,,,,,,21-24,92,6,26%,92,38%,,,Total Geral,1470,100,00%,,,,,,,,,,,,,,,,,,,,,,,,,,1009-2508,228,15,51%,15,51%,,,,6,70,4,76%,88,10%,,,,,,,,,17,82,5,58%,73,40%,,,,,,,,,30-34,37,2,52%,98,91%,,,,,,,6,65,4,42%,100,00%,,,,,,,,,,,,,,,25-29,12,0,82%,98,84%,,,5,36,2,45%,64,49%,,,,,,5,45,3,06%,85,37%,,,,,,5,31,2,11%,64,90%,,,,,,,,,,,,,,,,,,,,,
