Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;;;Deixou a empresa?;Rótulos de Coluna;;;
Rótulos de Linha;Não;Sim;Total Geral;;;Rótulos de Linha;Não;Sim;Total Geral;TurnOver;;Rótulos de Linha;Não;Sim;Total Geral;TurnOver;;Rótulos de Linha;Não;Sim;Total Geral;TurnOver;;Rótulos de Linha;Não;Sim;Total Geral;TurnOver;;Rótulos de Linha;Não;Sim;Total Geral;TurnOver;;Rótulos de Linha;Não;Sim;Total Geral;TurnOver;;Rótulos de Linha;Não;Sim;Total Geral;TurnOver;;Rótulos de Linha;Não;Sim;Total Geral;TurnOver;;Rótulos de Linha;Não;Sim;Total Geral;TurnOver;;Rótulos de Linha;Não;Sim;Total Geral;TurnOver;;Rótulos de Linha;Não;Sim;Total Geral;TurnOver;;Rótulos de Linha;Não;Sim;Total Geral;TurnOver;;Rótulos de Linha;Não;Sim;Total Geral;TurnOver;;Rótulos de Linha;Não;Sim;Total Geral;TurnOver;;Rótulos de Linha;Não;Sim;Total Geral;TurnOver;;Rótulos de Linha;Não;Sim;Total Geral;TurnOver;;Rótulos de Linha;Não;Sim;Total Geral;TurnOver;;Rótulos de Linha;Não;Sim;Total Geral;TurnOver
<20;7;10;17;59%;;Não viaja;138;12;150;8%;;1-4;490;77;567;14%;;Ensino Médio;139;31;170;18%;;Alto;391;62;453;14%;;H;732;150;882;17%;;Casado;589;84;673;12%;;1009-2508;151;77;228;34%;;0;174;23;197;12%;;Não;944;110;1054;10%;;11;169;41;210;20%;;0;477;154;631;24%;;0-4;153;75;228;33%;;0;39;15;54;28%;;Bom;286;58;344;17%;;0-4;439;141;580;24%;;0;171;73;244;30%;;0;471;110;581;19%;;0;178;85;263;32%
20-24;52;28;80;35%;;Viaja frequentemente;208;69;277;25%;;5-8;250;38;288;13%;;Ensino Técnico;238;44;282;16%;;Baixo;212;72;284;25%;;M;501;87;588;15%;;Divorciado;294;33;327;10%;;2509-4008;256;60;316;19%;;1;423;98;521;19%;;Sim;289;127;416;31%;;12;165;33;198;17%;;1;540;56;596;9%;;5-9;411;82;493;17%;;1;62;9;71;13%;;Excelente;126;27;153;18%;;5-9;466;58;524;11%;;1;46;11;57;19%;;1;308;49;357;14%;;1;65;11;76;14%
25-29;176;53;229;23%;;Viaja raramente;887;156;1043;15%;;9-12;181;39;220;18%;;Ensino Superior;473;99;572;17%;;Médio;244;43;287;15%;;Total Geral;1233;237;1470;16%;;Solteiro;350;120;470;26%;;4009-5508;276;35;311;11%;;2;130;16;146;11%;;Total Geral;1233;237;1470;16%;;13;175;34;209;16%;;2;146;12;158;8%;;10-14;309;44;353;12%;;2;449;98;547;18%;;Muito bom;766;127;893;14%;;10-14;184;24;208;12%;;2;304;68;372;18%;;2;132;27;159;17%;;2;294;50;344;15%
30-34;266;59;325;18%;;Total Geral;1233;237;1470;16%;;13-16;76;22;98;22%;;Mestrado;340;58;398;15%;;Muito Alto;386;60;446;13%;;;;;;;;Total Geral;1233;237;1470;;;5509-7008;163;18;181;10%;;3;143;16;159;10%;;;;;;;;14;177;24;201;12%;;3;70;15;85;18%;;15-19;141;18;159;11%;;3;422;69;491;14%;;Ruim;55;25;80;31%;;15-19;60;5;65;8%;;3;119;16;135;12%;;3;43;9;52;17%;;3;123;19;142;13%
35-39;267;30;297;10%;;;;;;;;17-20;77;16;93;17%;;Doutorado;43;5;48;10%;;Total Geral;1233;237;1470;16%;;;;;;;;;;;;;;7009-8508;65;10;75;13%;;4;122;17;139;12%;;;;;;;;15;83;18;101;18%;;Total Geral;1233;237;1470;16%;;20-24;115;10;125;8%;;4;97;26;123;21%;;Total Geral;1233;237;1470;16%;;20-24;59;5;64;8%;;4;89;15;104;14%;;4;56;5;61;8%;;4;87;11;98;11%
40-44;187;21;208;10%;;Viaja frequentemente turnover 25%;;;;;;21-24;66;26;92;28%;;Total Geral;1233;237;1470;16%;;;;;;;;Homens 17%;;;;;;Solteiro 26%;;;;;;8509-10008;66;13;79;16%;;5;47;16;63;25%;;Faz horas extra sim 31% Turnover;;;;;;16;64;14;78;18%;;;;;;;;25-29;56;3;59;5%;;5;105;14;119;12%;;;;;;;;25-29;12;;12;0%;;5;35;1;36;3%;;5;43;2;45;4%;;5;27;4;31;13%
45-49;128;13;141;9%;;;;;;;;25-29;93;19;112;17%;;;;;;;;;;;;;;;;;;;;;;;;;;10009-11508;59;12;71;17%;;6;54;16;70;23%;;;;;;;;17;68;14;82;17%;;Qtade de ações da empresa 0 com 24% turnover;;;;;;30-34;34;3;37;8%;;6;59;6;65;9%;;Equilibrio de vida RUIM com 31%;;;;;;30-34;10;3;13;23%;;6;35;2;37;5%;;6;26;6;32;19%;;6;25;4;29;14%
50-54;92;12;104;12%;;;;;;;;Total Geral;1233;237;1470;16%;;Ensino Médio 18%;;;;;;;;;;;;;;;;;;;;;;;;11509-13008;21;3;24;13%;;7;57;17;74;23%;;;;;;;;18;76;13;89;15%;;;;;;;;35-40;14;2;16;13%;;Total Geral;1233;237;1470;16%;;;;;;;;35-40;3;1;4;25%;;7;191;31;222;14%;;7;60;16;76;21%;;7;185;31;216;14%
55-60;58;11;69;16%;;;;;;;;;;;;;;;;;;;;Satisfação com o clima organizacional 25%;;;;;;;;;;;;;;;;;;13009-14508;44;4;48;8%;;8;43;6;49;12%;;;;;;;;19;67;9;76;12%;;;;;;;;Total Geral;1233;237;1470;16%;;;;;;;;;;;;;;Total Geral;1233;237;1470;16%;;8;82;7;89;8%;;8;18;;18;0%;;8;97;10;107;9%
Total Geral;1233;237;1470;16%;;;;;;;;Dsitancia do trabalho 21-24km turnover 28%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14509-16008;11;;11;0%;;9;40;12;52;23%;;;;;;;;20;48;7;55;13%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;61;6;67;9%;;9;13;4;17;24%;;9;58;6;64;9%
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16009-17508;45;;45;0%;;Total Geral;1233;237;1470;16%;;;;;;;;21;43;5;48;10%;;;;;;;;Tempo de carreira 0 até 4 anos com 33% Turnover;;;;;;Horas de treinamento 0 hrs com 28% turnover;;;;;;;;;;;;;;;;;;10;27;2;29;7%;;10;5;1;6;17%;;10;24;3;27;11%
Faixa etária de 18-20 anos 59% e 20-24 anos 35%.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17509-19008;30;1;31;3%;;;;;;;;;;;;;;22;44;12;56;21%;;;;;;;;;;;;;;;;;;;;;;;;;;Tempo de empresa 35-40 anos 25%.;;;;;;11;22;;22;0%;;11;22;2;24;8%;;11;21;1;22;5%
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19009-20508;46;4;50;8%;;;;;;;;;;;;;;23;22;6;28;21%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;9;1;10;10%;;12;10;;10;0%;;12;18;;18;0%
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Total Geral;1233;237;1470;16%;;Qtdade de empresas trabalhadas 5 com 25% turnover;;;;;;;;;;;;24;15;6;21;29%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;13;1;14;7%;;13;8;2;10;20%;;13;14;;14;0%
